,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 24, 2022",139.90,141.91,139.77,141.66,141.66,89047400
1,"Jun 23, 2022",136.82,138.59,135.63,138.27,138.27,72433800
2,"Jun 22, 2022",134.79,137.76,133.91,135.35,135.35,73409200
3,"Jun 21, 2022",133.42,137.06,133.32,135.87,135.87,81000500
4,"Jun 17, 2022",130.07,133.08,129.81,131.56,131.56,134118500
5,"Jun 16, 2022",132.08,132.39,129.04,130.06,130.06,108123900
6,"Jun 15, 2022",134.29,137.34,132.16,135.43,135.43,91533000
7,"Jun 14, 2022",133.13,133.89,131.48,132.76,132.76,84784300
8,"Jun 13, 2022",132.87,135.20,131.44,131.88,131.88,122207100
9,"Jun 10, 2022",140.28,140.76,137.06,137.13,137.13,91437900
10,"Jun 09, 2022",147.08,147.95,142.53,142.64,142.64,69473000
11,"Jun 08, 2022",148.58,149.87,147.46,147.96,147.96,53950200
12,"Jun 07, 2022",144.35,149.00,144.10,148.71,148.71,67808200
13,"Jun 06, 2022",147.03,148.57,144.90,146.14,146.14,71598400
14,"Jun 03, 2022",146.90,147.97,144.46,145.38,145.38,88471400
15,"Jun 02, 2022",147.83,151.27,146.86,151.21,151.21,72348100
16,"Jun 01, 2022",149.90,151.74,147.68,148.71,148.71,74286600
17,"May 31, 2022",149.07,150.66,146.84,148.84,148.84,103718400
18,"May 27, 2022",145.39,149.68,145.26,149.64,149.64,90978500
19,"May 26, 2022",137.39,144.34,137.14,143.78,143.78,90601500
20,"May 25, 2022",138.43,141.79,138.34,140.52,140.52,92482700
21,"May 24, 2022",140.81,141.97,137.33,140.36,140.36,104132700
22,"May 23, 2022",137.79,143.26,137.65,143.11,143.11,117726300
23,"May 20, 2022",139.09,140.70,132.61,137.59,137.59,137426100
24,"May 19, 2022",139.88,141.66,136.60,137.35,137.35,136095600
25,"May 18, 2022",146.85,147.36,139.90,140.82,140.82,109742900
26,"May 17, 2022",148.86,149.77,146.68,149.24,149.24,78336300
27,"May 16, 2022",145.55,147.52,144.18,145.54,145.54,86643800
28,"May 13, 2022",144.59,148.10,143.11,147.11,147.11,113990900
29,"May 12, 2022",142.77,146.20,138.80,142.56,142.56,182602000
30,"May 11, 2022",153.50,155.45,145.81,146.50,146.50,142689800
31,"May 10, 2022",155.52,156.74,152.93,154.51,154.51,115366700
32,"May 09, 2022",154.93,155.83,151.49,152.06,152.06,131577900
33,"May 06, 2022",156.01,159.44,154.18,157.28,157.28,116124600
35,"May 05, 2022",163.85,164.08,154.95,156.77,156.54,130525300
36,"May 04, 2022",159.67,166.48,159.26,166.02,165.78,108256500
37,"May 03, 2022",158.15,160.71,156.32,159.48,159.25,88966500
38,"May 02, 2022",156.71,158.23,153.27,157.96,157.73,123055300
39,"Apr 29, 2022",161.84,166.20,157.25,157.65,157.42,131747600
40,"Apr 28, 2022",159.25,164.52,158.93,163.64,163.40,130216800
41,"Apr 27, 2022",155.91,159.79,155.38,156.57,156.34,88063200
42,"Apr 26, 2022",162.25,162.34,156.72,156.80,156.57,95623200
43,"Apr 25, 2022",161.12,163.17,158.46,162.88,162.64,96046400
44,"Apr 22, 2022",166.46,167.87,161.50,161.79,161.55,84882400
45,"Apr 21, 2022",168.91,171.53,165.91,166.42,166.18,87227800
46,"Apr 20, 2022",168.76,168.88,166.10,167.23,166.98,67929800
47,"Apr 19, 2022",165.02,167.82,163.91,167.40,167.15,67723800
48,"Apr 18, 2022",163.92,166.60,163.57,165.07,164.83,69023900
49,"Apr 14, 2022",170.62,171.27,165.04,165.29,165.05,75329400
50,"Apr 13, 2022",167.39,171.04,166.77,170.40,170.15,70618900
51,"Apr 12, 2022",168.02,169.87,166.64,167.66,167.41,79265200
52,"Apr 11, 2022",168.71,169.03,165.50,165.75,165.51,72246700
53,"Apr 08, 2022",171.78,171.78,169.20,170.09,169.84,76575500
54,"Apr 07, 2022",171.16,173.36,169.85,172.14,171.89,77594700
55,"Apr 06, 2022",172.36,173.63,170.13,171.83,171.58,89058800
56,"Apr 05, 2022",177.50,178.30,174.42,175.06,174.80,73401800
57,"Apr 04, 2022",174.57,178.49,174.44,178.44,178.18,76468400
58,"Apr 01, 2022",174.03,174.88,171.94,174.31,174.05,78751300
59,"Mar 31, 2022",177.84,178.03,174.40,174.61,174.35,103049300
60,"Mar 30, 2022",178.55,179.61,176.70,177.77,177.51,92633200
61,"Mar 29, 2022",176.69,179.01,176.34,178.96,178.70,100589400
62,"Mar 28, 2022",172.17,175.73,172.00,175.60,175.34,90371900
63,"Mar 25, 2022",173.88,175.28,172.75,174.72,174.46,80546200
64,"Mar 24, 2022",171.06,174.14,170.21,174.07,173.81,90131400
65,"Mar 23, 2022",167.99,172.64,167.65,170.21,169.96,98062700
66,"Mar 22, 2022",165.51,169.42,164.91,168.82,168.57,81532000
67,"Mar 21, 2022",163.51,166.35,163.01,165.38,165.14,95811400
68,"Mar 18, 2022",160.51,164.48,159.76,163.98,163.74,123511700
69,"Mar 17, 2022",158.61,161.00,157.63,160.62,160.38,75615400
70,"Mar 16, 2022",157.05,160.00,154.46,159.59,159.36,102300200
71,"Mar 15, 2022",150.90,155.57,150.38,155.09,154.86,92964300
72,"Mar 14, 2022",151.45,154.12,150.10,150.62,150.40,108732100
73,"Mar 11, 2022",158.93,159.28,154.50,154.73,154.50,96970100
74,"Mar 10, 2022",160.20,160.39,155.98,158.52,158.29,105342000
75,"Mar 09, 2022",161.48,163.41,159.41,162.95,162.71,91454900
76,"Mar 08, 2022",158.82,162.88,155.80,157.44,157.21,131148300
77,"Mar 07, 2022",163.36,165.02,159.04,159.30,159.07,96418800
78,"Mar 04, 2022",164.49,165.55,162.10,163.17,162.93,83737200
79,"Mar 03, 2022",168.47,168.91,165.55,166.23,165.99,76678400
80,"Mar 02, 2022",164.39,167.36,162.95,166.56,166.32,79724800
81,"Mar 01, 2022",164.70,166.60,161.97,163.20,162.96,83474400
82,"Feb 28, 2022",163.06,165.42,162.43,165.12,164.88,95056600
83,"Feb 25, 2022",163.84,165.12,160.87,164.85,164.61,91974200
84,"Feb 24, 2022",152.58,162.85,152.00,162.74,162.50,141147500
85,"Feb 23, 2022",165.54,166.15,159.75,160.07,159.84,90009200
86,"Feb 22, 2022",164.98,166.69,162.15,164.32,164.08,91162800
87,"Feb 18, 2022",169.82,170.54,166.19,167.30,167.05,82772700
88,"Feb 17, 2022",171.03,171.91,168.47,168.88,168.63,69589300
89,"Feb 16, 2022",171.85,173.34,170.05,172.55,172.30,61177400
90,"Feb 15, 2022",170.97,172.95,170.25,172.79,172.54,62527400
91,"Feb 14, 2022",167.37,169.58,166.56,168.88,168.63,86185500
92,"Feb 11, 2022",172.33,173.08,168.04,168.64,168.39,98670700
93,"Feb 10, 2022",174.14,175.48,171.55,172.12,171.87,90865900
94,"Feb 09, 2022",176.05,176.65,174.90,176.28,176.02,71285000
95,"Feb 08, 2022",171.73,175.35,171.43,174.83,174.57,74829200
96,"Feb 07, 2022",172.86,173.95,170.95,171.66,171.41,77251200
97,"Feb 04, 2022",171.68,174.10,170.68,172.39,172.14,82465400
99,"Feb 03, 2022",174.48,176.24,172.12,172.90,172.43,89418100
100,"Feb 02, 2022",174.75,175.88,173.33,175.84,175.36,84914300
101,"Feb 01, 2022",174.01,174.84,172.31,174.61,174.13,86213900
102,"Jan 31, 2022",170.16,175.00,169.51,174.78,174.30,115541600
103,"Jan 28, 2022",165.71,170.35,162.80,170.33,169.86,179935700
104,"Jan 27, 2022",162.45,163.84,158.28,159.22,158.78,121954600
105,"Jan 26, 2022",163.50,164.39,157.82,159.69,159.25,108275300
106,"Jan 25, 2022",158.98,162.76,157.02,159.78,159.34,115798400
107,"Jan 24, 2022",160.02,162.30,154.70,161.62,161.18,162294600
108,"Jan 21, 2022",164.42,166.33,162.30,162.41,161.97,122848900
109,"Jan 20, 2022",166.98,169.68,164.18,164.51,164.06,91420500
110,"Jan 19, 2022",170.00,171.08,165.94,166.23,165.77,94815000
111,"Jan 18, 2022",171.51,172.54,169.41,169.80,169.34,90956700
112,"Jan 14, 2022",171.34,173.78,171.09,173.07,172.60,80440800
113,"Jan 13, 2022",175.78,176.62,171.79,172.19,171.72,84505800
114,"Jan 12, 2022",176.12,177.18,174.82,175.53,175.05,74805200
