,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 24, 2022",83.56,87.53,83.08,87.08,87.08,88477400
1,"Jun 23, 2022",84.32,84.41,80.23,82.43,82.43,100614600
2,"Jun 22, 2022",84.40,86.38,83.30,83.75,83.75,86634700
3,"Jun 21, 2022",84.17,85.81,82.60,83.79,83.79,87780600
4,"Jun 17, 2022",82.19,82.94,79.43,81.57,81.57,105125700
5,"Jun 16, 2022",86.63,86.73,80.64,82.05,82.05,102433300
6,"Jun 15, 2022",87.90,90.86,86.19,89.30,89.30,95774800
7,"Jun 14, 2022",87.41,88.30,85.82,86.99,86.99,84066600
8,"Jun 13, 2022",91.26,92.03,86.64,86.99,86.99,98148800
9,"Jun 10, 2022",98.82,99.93,94.25,94.82,94.82,102135400
10,"Jun 09, 2022",101.57,103.94,98.74,98.80,98.80,95299000
11,"Jun 08, 2022",104.57,105.85,100.41,101.90,101.90,97641900
12,"Jun 07, 2022",104.24,106.24,102.61,105.28,105.28,79022900
13,"Jun 06, 2022",108.27,109.57,104.23,105.65,105.65,96726900
14,"Jun 03, 2022",105.80,109.39,104.65,106.30,106.30,110801500
15,"Jun 02, 2022",100.78,109.50,100.78,108.59,108.59,120953800
16,"Jun 01, 2022",102.13,103.57,99.55,101.22,101.22,99351400
17,"May 31, 2022",102.43,104.55,100.04,101.86,101.86,125102900
18,"May 27, 2022",100.14,102.40,99.38,102.26,102.26,104348400
19,"May 26, 2022",91.34,100.33,90.74,98.75,98.75,128792700
20,"May 25, 2022",90.43,93.89,89.52,92.65,92.65,111771100
21,"May 24, 2022",92.54,93.42,89.62,91.16,91.16,123341400
22,"May 23, 2022",91.66,95.19,90.92,95.07,95.07,128773000
23,"May 20, 2022",98.39,98.64,88.26,93.50,93.50,164126800
24,"May 19, 2022",96.69,100.69,95.09,96.67,96.67,141506200
25,"May 18, 2022",100.00,104.22,95.71,96.28,96.28,142603200
26,"May 17, 2022",97.88,103.20,97.54,102.47,102.47,164227200
27,"May 16, 2022",93.86,98.17,93.08,94.24,94.24,131065700
28,"May 13, 2022",88.30,96.57,88.22,95.12,95.12,138068100
29,"May 12, 2022",86.60,88.55,83.27,87.06,87.06,129214200
30,"May 11, 2022",87.84,93.46,86.53,87.92,87.92,136137900
31,"May 10, 2022",89.18,90.77,85.41,88.73,88.73,137235500
32,"May 09, 2022",92.87,93.74,85.38,86.36,86.36,144523700
33,"May 06, 2022",94.34,98.18,92.65,95.34,95.34,144286600
34,"May 05, 2022",97.65,97.84,92.17,93.87,93.87,153129800
35,"May 04, 2022",98.18,99.69,91.70,99.42,99.42,225394100
36,"May 03, 2022",89.85,92.21,89.01,91.13,91.13,126381800
37,"May 02, 2022",85.66,90.37,85.32,89.84,89.84,98304100
38,"Apr 29, 2022",88.05,91.79,85.38,85.52,85.52,82647700
