,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 24, 2022",165.00,171.40,163.10,171.26,171.26,47166300
1,"Jun 23, 2022",165.19,165.85,158.53,162.25,162.25,46368000
2,"Jun 22, 2022",162.26,166.62,161.80,163.60,163.60,43713500
3,"Jun 21, 2022",164.75,170.08,164.07,165.66,165.66,48308900
4,"Jun 17, 2022",156.48,159.95,153.28,158.80,158.80,62905700
5,"Jun 16, 2022",158.60,159.42,154.01,156.01,156.01,54574900
6,"Jun 15, 2022",160.95,168.68,159.26,165.27,165.27,56393600
7,"Jun 14, 2022",157.31,160.66,154.12,158.36,158.36,46968000
8,"Jun 13, 2022",160.00,163.12,156.06,156.47,156.47,60415300
9,"Jun 10, 2022",176.00,176.97,168.69,169.74,169.74,46524800
10,"Jun 09, 2022",184.81,189.33,180.41,180.48,180.48,39557400
11,"Jun 08, 2022",187.99,191.80,185.35,186.48,186.48,36325200
13,"Jun 07, 2022",184.72,190.00,181.88,189.26,189.22,38891400
14,"Jun 06, 2022",191.39,193.37,185.64,187.86,187.82,42240600
15,"Jun 03, 2022",190.82,193.32,185.22,187.20,187.16,59848000
16,"Jun 02, 2022",182.92,196.19,181.98,195.92,195.88,64865600
17,"Jun 01, 2022",187.24,190.53,181.22,183.20,183.16,54451400
18,"May 31, 2022",189.80,192.00,183.50,186.72,186.68,66410000
19,"May 27, 2022",181.86,188.81,181.00,188.11,188.07,73837900
20,"May 26, 2022",160.36,180.92,160.22,178.51,178.47,99657500
21,"May 25, 2022",160.20,171.11,160.00,169.75,169.71,78113200
22,"May 24, 2022",165.10,165.97,157.80,161.54,161.51,58855000
23,"May 23, 2022",162.74,169.15,161.79,168.98,168.94,63988900
24,"May 20, 2022",173.32,174.10,157.55,166.94,166.90,73910500
25,"May 19, 2022",169.37,176.87,167.34,171.24,171.20,62131000
26,"May 18, 2022",177.05,181.18,168.64,169.38,169.34,54516100
27,"May 17, 2022",180.74,183.71,176.34,181.77,181.73,58583000
28,"May 16, 2022",175.09,177.88,171.06,172.64,172.60,52144600
29,"May 13, 2022",167.88,179.28,165.93,177.06,177.02,67043700
30,"May 12, 2022",162.19,167.88,155.67,161.75,161.72,70872800
31,"May 11, 2022",173.47,177.53,165.68,166.30,166.26,67016700
32,"May 10, 2022",176.89,181.98,170.25,175.95,175.91,76147400
33,"May 09, 2022",180.34,182.55,168.27,169.50,169.46,64445500
34,"May 06, 2022",187.36,195.12,179.90,186.75,186.71,63329700
35,"May 05, 2022",198.67,199.25,185.00,188.44,188.40,62633100
36,"May 04, 2022",199.23,204.00,187.51,203.34,203.30,64885500
37,"May 03, 2022",194.00,198.25,191.33,196.02,195.98,47575100
38,"May 02, 2022",185.41,195.74,183.91,195.33,195.29,57204900
39,"Apr 29, 2022",194.02,201.28,185.17,185.47,185.43,50043500
40,"Apr 28, 2022",189.67,200.37,184.90,197.82,197.78,57032700
41,"Apr 27, 2022",185.98,191.67,182.90,184.15,184.11,49946000
42,"Apr 26, 2022",197.18,197.88,186.70,187.88,187.84,65314300
43,"Apr 25, 2022",192.02,199.45,190.96,199.02,198.98,64156600
44,"Apr 22, 2022",203.03,204.86,195.00,195.15,195.11,62471300
45,"Apr 21, 2022",217.09,223.92,200.00,201.83,201.79,65620900
46,"Apr 20, 2022",225.17,226.70,212.00,214.82,214.77,46897400
47,"Apr 19, 2022",217.20,223.73,213.14,221.98,221.93,51278100
48,"Apr 18, 2022",212.00,220.88,210.79,217.83,217.78,52570100
49,"Apr 14, 2022",225.05,227.77,211.63,212.58,212.54,56909700
50,"Apr 13, 2022",217.28,225.00,214.55,222.03,221.98,51694300
51,"Apr 12, 2022",225.37,227.25,212.82,215.04,214.99,66225800
52,"Apr 11, 2022",222.14,223.20,216.60,219.17,219.12,57520700
53,"Apr 08, 2022",239.17,239.23,230.62,231.19,231.14,52478100
54,"Apr 07, 2022",244.41,247.22,234.78,242.08,242.03,55799200
55,"Apr 06, 2022",249.34,253.00,240.03,244.07,244.02,70383300
56,"Apr 05, 2022",272.54,273.19,258.20,259.31,259.26,43661500
57,"Apr 04, 2022",267.28,275.58,266.13,273.60,273.54,39712000
58,"Apr 01, 2022",273.75,274.96,262.67,267.12,267.06,51723500
59,"Mar 31, 2022",277.82,282.48,272.70,272.86,272.80,52344000
60,"Mar 30, 2022",283.04,284.96,275.03,276.90,276.84,46348700
61,"Mar 29, 2022",286.95,289.46,279.80,286.56,286.50,48898400
62,"Mar 28, 2022",277.56,282.50,272.06,282.19,282.13,42549400
63,"Mar 25, 2022",278.86,283.58,272.71,276.92,276.86,57901600
64,"Mar 24, 2022",261.66,283.20,259.07,281.50,281.44,87737900
65,"Mar 23, 2022",261.26,266.12,255.75,256.34,256.29,50212000
66,"Mar 22, 2022",267.27,272.38,260.72,265.24,265.18,54700700
67,"Mar 21, 2022",265.07,271.52,259.67,267.34,267.28,59172700
68,"Mar 18, 2022",247.99,265.69,246.24,264.53,264.47,73071900
69,"Mar 17, 2022",241.20,248.42,239.06,247.66,247.61,47194100
70,"Mar 16, 2022",235.00,245.97,231.72,244.96,244.91,67142200
71,"Mar 15, 2022",215.18,230.38,213.22,229.73,229.68,49199600
72,"Mar 14, 2022",218.69,222.62,211.59,213.30,213.25,38535400
73,"Mar 11, 2022",230.22,231.45,220.46,221.00,220.95,36720900
74,"Mar 10, 2022",225.31,227.88,218.82,226.58,226.53,42806600
75,"Mar 09, 2022",223.87,232.20,222.47,230.14,230.09,49274200
76,"Mar 08, 2022",213.09,223.73,206.50,215.14,215.09,55746700
77,"Mar 07, 2022",228.17,230.33,213.30,213.52,213.47,45082100
78,"Mar 04, 2022",233.84,236.80,224.82,229.36,229.31,43141500
79,"Mar 03, 2022",242.62,243.26,234.69,237.14,237.09,36509500
80,"Mar 02, 2022",237.56,244.09,234.15,242.20,242.15,38964200
82,"Mar 01, 2022",242.91,243.77,231.32,234.77,234.68,41205600
83,"Feb 28, 2022",239.92,246.65,237.07,243.85,243.76,47731900
84,"Feb 25, 2022",237.21,242.17,233.81,241.57,241.48,52886600
85,"Feb 24, 2022",210.15,238.00,208.90,237.48,237.39,73580100
86,"Feb 23, 2022",238.02,241.55,223.01,223.87,223.78,56651100
87,"Feb 22, 2022",230.35,240.64,230.00,233.90,233.81,63342200
88,"Feb 18, 2022",246.68,249.86,231.00,236.42,236.33,76125500
89,"Feb 17, 2022",256.30,257.85,241.65,245.07,244.98,81059500
90,"Feb 16, 2022",262.59,265.82,255.52,265.11,265.01,73267600
91,"Feb 15, 2022",249.49,265.45,247.84,264.95,264.85,69986900
92,"Feb 14, 2022",239.34,248.75,237.55,242.67,242.58,44042400
93,"Feb 11, 2022",259.16,261.52,237.73,239.49,239.40,60547200
94,"Feb 10, 2022",259.95,269.25,256.00,258.24,258.14,51320000
95,"Feb 09, 2022",256.22,267.25,253.53,267.05,266.95,52428200
96,"Feb 08, 2022",243.59,252.30,239.80,251.08,250.98,41035900
97,"Feb 07, 2022",243.72,251.82,242.02,247.28,247.19,37686800
98,"Feb 04, 2022",239.72,246.35,236.32,243.19,243.10,35482900
99,"Feb 03, 2022",244.58,250.77,237.80,239.48,239.39,41017800
100,"Feb 02, 2022",257.94,258.17,245.53,252.42,252.32,54341900
101,"Feb 01, 2022",251.04,251.45,238.90,246.38,246.29,51892500
102,"Jan 31, 2022",231.82,245.09,230.52,244.86,244.77,56468000
103,"Jan 28, 2022",220.12,228.58,212.96,228.40,228.31,54377400
104,"Jan 27, 2022",235.68,239.95,216.75,219.44,219.36,57335300
105,"Jan 26, 2022",232.40,240.57,223.00,227.72,227.63,75595900
106,"Jan 25, 2022",225.46,229.43,220.00,223.24,223.15,66461600
107,"Jan 24, 2022",223.30,233.80,208.88,233.72,233.63,91398200
108,"Jan 21, 2022",235.07,248.23,232.63,233.74,233.65,71895800
109,"Jan 20, 2022",253.04,255.79,240.78,241.50,241.41,43518100
110,"Jan 19, 2022",260.79,265.43,250.52,250.67,250.57,48831500
111,"Jan 18, 2022",262.60,266.38,257.70,259.03,258.93,42427000
112,"Jan 14, 2022",263.00,271.97,262.10,269.42,269.32,39583200
113,"Jan 13, 2022",283.79,284.80,264.98,265.75,265.65,54017100
114,"Jan 12, 2022",280.67,285.95,276.08,279.99,279.88,38341300
115,"Jan 11, 2022",273.23,280.65,268.39,278.17,278.06,40408900
116,"Jan 10, 2022",265.81,274.69,256.44,274.00,273.90,59468100
117,"Jan 07, 2022",281.41,284.22,270.57,272.47,272.37,40993900
118,"Jan 06, 2022",276.40,284.38,270.65,281.78,281.67,45418600
119,"Jan 05, 2022",289.49,294.16,275.33,276.04,275.93,49806400
120,"Jan 04, 2022",302.77,304.68,283.49,292.90,292.79,52715400
121,"Jan 03, 2022",298.15,307.11,297.85,301.21,301.10,39154700
122,"Dec 31, 2021",296.74,300.30,293.31,294.11,294.00,26653000
123,"Dec 30, 2021",298.27,304.57,295.40,295.86,295.75,30886400
124,"Dec 29, 2021",302.73,305.48,293.66,300.01,299.90,34313900
125,"Dec 28, 2021",313.12,313.30,300.12,303.22,303.10,42059100
126,"Dec 27, 2021",296.60,310.87,296.40,309.45,309.33,40368600
127,"Dec 23, 2021",297.55,300.59,294.31,296.40,296.29,34302200
128,"Dec 22, 2021",288.91,295.55,284.49,294.00,293.89,39518400
129,"Dec 21, 2021",283.74,291.20,274.01,290.75,290.64,52438500
130,"Dec 20, 2021",273.05,281.44,271.45,277.19,277.08,46184700
131,"Dec 17, 2021",279.85,289.22,277.60,278.01,277.90,71375800
132,"Dec 16, 2021",311.52,311.60,280.93,283.87,283.76,70736600
133,"Dec 15, 2021",284.00,305.00,278.38,304.59,304.47,69829700
134,"Dec 14, 2021",276.99,286.78,272.50,283.37,283.26,66703500
135,"Dec 13, 2021",302.49,302.94,281.16,281.61,281.50,59834400
136,"Dec 10, 2021",311.50,313.05,298.61,301.98,301.86,48882500
137,"Dec 09, 2021",317.34,322.05,304.28,304.90,304.78,48850700
138,"Dec 08, 2021",319.99,322.90,314.21,318.26,318.14,47555100
139,"Dec 07, 2021",309.57,324.49,306.51,324.27,324.15,59305300
140,"Dec 06, 2021",298.80,302.41,280.38,300.37,300.26,65893800
141,"Dec 03, 2021",320.00,321.29,301.30,306.93,306.81,54432500
142,"Dec 02, 2021",312.14,324.78,310.25,321.26,321.14,47289000
143,"Dec 01, 2021",332.19,332.89,313.80,314.35,314.23,48436800
