,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 06, 2022",274.81,279.25,271.27,274.73,274.09,37748300
1,"May 05, 2022",285.54,286.35,274.34,277.35,276.71,43260400
2,"May 04, 2022",282.59,290.88,276.73,289.98,289.31,33599300
3,"May 03, 2022",283.96,284.13,280.15,281.78,281.13,25978600
4,"May 02, 2022",277.71,284.94,276.22,284.47,283.81,35151100
5,"Apr 29, 2022",288.61,289.88,276.50,277.52,276.88,37025000
6,"Apr 28, 2022",285.19,290.98,281.46,289.63,288.96,33646600
7,"Apr 27, 2022",282.10,290.97,279.16,283.22,282.56,63477700
8,"Apr 26, 2022",277.50,278.36,270.00,270.22,269.59,46518400
9,"Apr 25, 2022",273.29,281.11,270.77,280.72,280.07,35678900
10,"Apr 22, 2022",281.68,283.20,273.38,274.03,273.39,29405800
11,"Apr 21, 2022",288.58,293.30,280.06,280.81,280.16,29454600
12,"Apr 20, 2022",289.40,289.70,285.37,286.36,285.69,22906700
13,"Apr 19, 2022",279.38,286.17,278.41,285.30,284.64,22297700
14,"Apr 18, 2022",278.91,282.46,278.34,280.52,279.87,20778000
15,"Apr 14, 2022",288.09,288.31,279.32,279.83,279.18,28221600
16,"Apr 13, 2022",282.73,288.58,281.30,287.62,286.95,21907200
17,"Apr 12, 2022",289.24,290.74,280.49,282.06,281.40,30966700
18,"Apr 11, 2022",291.79,292.61,285.00,285.26,284.60,34569300
19,"Apr 08, 2022",300.44,301.12,296.28,296.97,296.28,24361900
20,"Apr 07, 2022",296.66,303.65,296.35,301.37,300.67,31411200
21,"Apr 06, 2022",305.19,307.00,296.71,299.50,298.80,40110400
22,"Apr 05, 2022",313.27,314.87,309.87,310.88,310.16,23156700
23,"Apr 04, 2022",310.09,315.11,309.71,314.97,314.24,24289600
24,"Apr 01, 2022",309.37,310.13,305.54,309.42,308.70,27110500
25,"Mar 31, 2022",313.90,315.14,307.89,308.31,307.59,33422100
26,"Mar 30, 2022",313.76,315.95,311.58,313.86,313.13,28163600
27,"Mar 29, 2022",313.91,315.82,309.05,315.41,314.68,30393400
28,"Mar 28, 2022",304.33,310.80,304.33,310.70,309.98,29578200
29,"Mar 25, 2022",305.23,305.50,299.29,303.68,302.97,22566500
30,"Mar 24, 2022",299.14,304.20,298.32,304.10,303.39,24484500
31,"Mar 23, 2022",300.51,303.23,297.72,299.49,298.79,25715400
32,"Mar 22, 2022",299.80,305.00,298.77,304.06,303.35,27599700
33,"Mar 21, 2022",298.89,300.14,294.90,299.16,298.46,28351200
34,"Mar 18, 2022",295.37,301.00,292.73,300.43,299.73,43390600
35,"Mar 17, 2022",293.29,295.61,289.37,295.22,294.53,30816600
36,"Mar 16, 2022",289.11,294.57,283.20,294.39,293.71,37826300
37,"Mar 15, 2022",280.35,287.82,278.73,287.15,286.48,34245100
38,"Mar 14, 2022",280.34,285.40,275.82,276.44,275.80,30660700
39,"Mar 11, 2022",287.96,289.51,279.43,280.07,279.42,27209300
40,"Mar 10, 2022",283.02,286.60,280.58,285.59,284.93,30628000
41,"Mar 09, 2022",283.44,289.60,280.78,288.50,287.83,35204500
42,"Mar 08, 2022",277.80,283.96,270.00,275.85,275.21,48159500
43,"Mar 07, 2022",288.53,289.69,278.53,278.91,278.26,43157200
44,"Mar 04, 2022",294.29,295.66,287.17,289.86,289.19,32356500
45,"Mar 03, 2022",302.89,303.13,294.05,295.92,295.23,27314500
46,"Mar 02, 2022",295.36,301.47,293.70,300.19,299.49,31873000
47,"Mar 01, 2022",296.40,299.97,292.15,294.95,294.26,31217800
48,"Feb 28, 2022",294.31,299.14,293.00,298.79,298.10,34627500
49,"Feb 25, 2022",295.14,297.63,291.65,297.31,296.62,32546700
50,"Feb 24, 2022",272.51,295.16,271.52,294.59,293.91,56989700
51,"Feb 23, 2022",290.18,291.70,280.10,280.27,279.62,37811200
52,"Feb 22, 2022",285.00,291.54,284.50,287.72,287.05,41736100
53,"Feb 18, 2022",293.05,293.86,286.31,287.93,287.26,34264000
