,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 24, 2022",712.41,738.20,708.26,737.12,737.12,31866500
1,"Jun 23, 2022",713.72,717.95,685.91,705.21,705.21,34734200
2,"Jun 22, 2022",703.51,740.50,701.48,708.26,708.26,33702500
3,"Jun 21, 2022",673.81,730.73,673.00,711.11,711.11,40931000
4,"Jun 17, 2022",640.30,662.91,639.59,650.28,650.28,30810900
5,"Jun 16, 2022",668.21,675.50,626.08,639.30,639.30,35796900
6,"Jun 15, 2022",662.75,706.99,654.45,699.00,699.00,39710600
7,"Jun 14, 2022",654.86,678.99,635.21,662.67,662.67,32662900
8,"Jun 13, 2022",669.50,679.90,644.05,647.21,647.21,34255800
9,"Jun 10, 2022",705.47,718.50,683.74,696.69,696.69,32512200
10,"Jun 09, 2022",748.02,766.64,717.98,719.12,719.12,32163800
11,"Jun 08, 2022",720.26,749.89,717.53,725.60,725.60,25403500
12,"Jun 07, 2022",702.00,719.99,690.28,716.66,716.66,24269500
13,"Jun 06, 2022",733.06,734.60,703.05,714.84,714.84,28068200
14,"Jun 03, 2022",729.68,743.39,700.25,703.55,703.55,37348100
15,"Jun 02, 2022",732.47,792.63,726.20,775.00,775.00,31157700
16,"Jun 01, 2022",755.16,771.98,730.92,740.37,740.37,25749300
17,"May 31, 2022",773.84,778.80,734.23,758.26,758.26,33971500
18,"May 27, 2022",723.25,759.80,720.53,759.63,759.63,29765000
19,"May 26, 2022",661.42,718.67,653.66,707.73,707.73,35334400
20,"May 25, 2022",623.85,669.32,623.01,658.80,658.80,30713100
21,"May 24, 2022",653.53,653.92,620.57,628.16,628.16,29697500
22,"May 23, 2022",655.02,679.96,638.06,674.90,674.90,29634500
23,"May 20, 2022",713.99,721.58,633.00,663.90,663.90,48324400
24,"May 19, 2022",707.00,734.00,694.11,709.42,709.42,30098900
25,"May 18, 2022",744.52,760.50,700.81,709.81,709.81,29270600
26,"May 17, 2022",747.36,764.48,728.85,761.61,761.61,26745400
27,"May 16, 2022",767.16,769.76,719.09,724.37,724.37,28699500
28,"May 13, 2022",773.48,787.35,751.57,769.59,769.59,30716900
29,"May 12, 2022",701.00,759.66,680.00,728.00,728.00,46771000
30,"May 11, 2022",795.00,809.77,727.20,734.00,734.00,32408200
31,"May 10, 2022",819.31,825.36,774.25,800.04,800.04,28133900
32,"May 09, 2022",836.45,845.63,781.15,787.11,787.11,30270100
33,"May 06, 2022",887.00,888.00,843.11,865.65,865.65,24301000
34,"May 05, 2022",939.02,945.60,857.70,873.28,873.28,30839700
35,"May 04, 2022",903.94,955.50,885.28,952.62,952.62,27214600
36,"May 03, 2022",903.18,924.08,888.59,909.25,909.25,21236500
37,"May 02, 2022",860.77,906.36,848.03,902.94,902.94,25260500
38,"Apr 29, 2022",902.25,934.40,870.00,870.76,870.76,29377700
39,"Apr 28, 2022",899.98,900.00,821.70,877.51,877.51,41649500
40,"Apr 27, 2022",898.58,918.00,877.36,881.51,881.51,25652100
41,"Apr 26, 2022",995.43,1000.00,875.00,876.42,876.42,45377900
42,"Apr 25, 2022",978.97,1008.62,975.30,998.02,998.02,22780400
43,"Apr 22, 2022",1014.91,1034.85,994.00,1005.05,1005.05,23232200
44,"Apr 21, 2022",1074.73,1092.22,996.42,1008.78,1008.78,35138800
45,"Apr 20, 2022",1030.00,1034.00,975.25,977.20,977.20,23570400
46,"Apr 19, 2022",1005.06,1034.94,995.33,1028.15,1028.15,16615900
47,"Apr 18, 2022",989.03,1014.92,973.41,1004.29,1004.29,17238400
48,"Apr 14, 2022",999.29,1012.71,982.19,985.00,985.00,19474100
49,"Apr 13, 2022",981.08,1026.24,973.10,1022.37,1022.37,18373700
50,"Apr 12, 2022",997.64,1021.19,976.60,986.95,986.95,21992000
51,"Apr 11, 2022",980.40,1008.47,974.64,975.93,975.93,19785700
52,"Apr 08, 2022",1043.21,1048.44,1022.44,1025.49,1025.49,18337900
53,"Apr 07, 2022",1052.39,1076.59,1021.54,1057.26,1057.26,26482400
54,"Apr 06, 2022",1073.47,1079.00,1027.70,1045.76,1045.76,29782800
55,"Apr 05, 2022",1136.30,1152.87,1087.30,1091.26,1091.26,26691700
56,"Apr 04, 2022",1089.38,1149.91,1072.53,1145.45,1145.45,27345300
57,"Apr 01, 2022",1081.15,1094.75,1066.64,1084.59,1084.59,18087700
58,"Mar 31, 2022",1094.57,1103.14,1076.64,1077.60,1077.60,16330900
59,"Mar 30, 2022",1091.17,1113.95,1084.00,1093.99,1093.99,19955000
60,"Mar 29, 2022",1107.99,1114.77,1073.11,1099.57,1099.57,24538300
